Title,Media,Pile,Tags,RelativePath,Where,Source
1798 Map,Image,1700s_Maps,,1700s_Maps/Map_PlanofBerlinandSurrounds_1798.png,https://drive.google.com/drive/folders/16YD6VSEWtTcZTWEsmkZzzBtV2EBKXr5h?usp=sharing,
1743 Map,Image,1700s_Maps,,1700s_Maps/Map_Tiergarten_Berlin_1743.jpeg,https://drive.google.com/drive/folders/16YD6VSEWtTcZTWEsmkZzzBtV2EBKXr5h?usp=sharing,
1885 Berlin Map,Image,1800s_Maps,,1800s_Maps/Berlin_1885.jpeg,https://drive.google.com/drive/folders/1UGuFbxhQM0ltC71BDio95-1aH7IL_79t?usp=sharing,
1802 Berlin Map,Image,1800s_Maps,,1800s_Maps/Map_PlanofBerlinAndSurrounds_1802.jpeg,https://drive.google.com/drive/folders/1UGuFbxhQM0ltC71BDio95-1aH7IL_79t?usp=sharing,
1920 Berlin,Image,1900s_Maps,,1900s_Maps/berlin_1920.jpeg,https://drive.google.com/drive/folders/1d6F0rdO2yKurPvrorqft9w0_1j3voeCh?usp=sharing,
Divided Berlin,Image,1900s_Maps,,1900s_Maps/berlin_divided.jpeg,https://drive.google.com/drive/folders/1d6F0rdO2yKurPvrorqft9w0_1j3voeCh?usp=sharing,
Transport Berlin early 1900s,Image,1900s_Maps,,1900s_Maps/Berlin_Transport_1910_1936.png,https://drive.google.com/drive/folders/1d6F0rdO2yKurPvrorqft9w0_1j3voeCh?usp=sharing,
NY times - architecture,Link,Architecture,,Architecture/NYTimes_MysteriousDwellingsHiddenAmidtheTrees.html,https://drive.google.com/drive/folders/1d6F0rdO2yKurPvrorqft9w0_1j3voeCh?usp=sharing,
NY times - image,Image,Architecture,,Architecture/NYTimes_MysteriousDwellingsHiddenAmidtheTrees.png,https://drive.google.com/drive/folders/1d6F0rdO2yKurPvrorqft9w0_1j3voeCh?usp=sharing,
Cover - Death in the Tiergarten ,Image,Books_Fiction,,Books_Fiction/CarterHett_DeathintheTiergarten.png,https://drive.google.com/drive/folders/1W3bAfVFPbvgeDu4TFiFC6K4MRdmY-aZV?usp=sharing,
Book - Death in the Tiergarten,Link,Books_Fiction,,Books_Fiction/CarterHett_Death_in_the_Tiergarten.html,https://drive.google.com/drive/folders/1W3bAfVFPbvgeDu4TFiFC6K4MRdmY-aZV?usp=sharing,
Cover - The Tiergarten Tales,Image,Books_Fiction,,Books_Fiction/Grossi_TheTiergartenTales.png,https://drive.google.com/drive/folders/1W3bAfVFPbvgeDu4TFiFC6K4MRdmY-aZV?usp=sharing,
Book - The Tiergarten Tales,Link,Books_Fiction,,Books_Fiction/Grossi_TheTiergartenTales.html,https://drive.google.com/drive/folders/1W3bAfVFPbvgeDu4TFiFC6K4MRdmY-aZV?usp=sharing,
Godshall - A Story of Combat in the ColdWar,Link,Books_Historical ,,Books_Historical/Godshall_Der Tiergarten_ AStoryofCombatintheColdWar.html,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Hessel - Walking In Berlin,PDF,Books_Historical ,,Books_Historical/Hessel_WalkingInBerlin_FlaneurInTheCapital.pdf,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Cover - Walking In Berlin,Image,Books_Historical ,,Books_Historical/Hessel_WalkingInBerlin.png,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Cover - The Devils Inner Circle,Image,Books_Historical ,,Books_Historical/Read_TheDevilsInnerCircle_Cover.png,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Book - The Devils Inner Circle,Link,Books_Historical ,,Books_Historical/Read_TheDevilsInnerCircle.html,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Exerpt - The Devils Inner Circle,Image,Books_Historical ,,Books_Historical/Read_TiergartenExerpt.png,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Sweeny - Blue In The Tiergarten,PDF,Books_Historical ,,Books_Historical/Sweeny_BlueInTheTiergarten.pdf,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Sweeny - Blue In The Tiergarten,Image,Books_Historical ,,Books_Historical/Sweeny_BlueInTheTiergarten.png,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Walser - Berlin Stories,Image,Books_Historical ,,Books_Historical/Walser_BerlinStories_1905.png,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Walser - Berlin Stories,PDF,Books_Historical ,,Books_Historical/Walser_BerlinStories.pdf,https://drive.google.com/drive/folders/1GiUNiuPOlSxuufNEqJ8Tb69_YSYUnwfr?usp=sharing,
Foto from website 01,Image,BotanicalGardens,,BotanicalGardens/BotanicalGarden_01.jpg,https://drive.google.com/drive/folders/1mdWTO-DO0EPPNMygPY4Vp46BF-kNA9YU?usp=sharing,
Foto from website 02,Image,BotanicalGardens,,BotanicalGardens/BotanicalGarden_02.jpg,https://drive.google.com/drive/folders/1mdWTO-DO0EPPNMygPY4Vp46BF-kNA9YU?usp=sharing,
Foto from website 03,Image,BotanicalGardens,,BotanicalGardens/BotanicalGarden_03.jpg,https://drive.google.com/drive/folders/1mdWTO-DO0EPPNMygPY4Vp46BF-kNA9YU?usp=sharing,
Foto from website 04,Image,BotanicalGardens,,BotanicalGardens/BotanicalGarden_04.jpg,https://drive.google.com/drive/folders/1mdWTO-DO0EPPNMygPY4Vp46BF-kNA9YU?usp=sharing,
Foto from website 05,Image,BotanicalGardens,,BotanicalGardens/BotanicalGarden_05.jpg,https://drive.google.com/drive/folders/1mdWTO-DO0EPPNMygPY4Vp46BF-kNA9YU?usp=sharing,
Botanical Garden - Post Stamp,Image,BotanicalGardens,,BotanicalGardens/BotanicalGardenPostStamp.jpg,https://drive.google.com/drive/folders/1mdWTO-DO0EPPNMygPY4Vp46BF-kNA9YU?usp=sharing,
1818 Brandenburg Gate,Image,BrandenburgGate,,BrandenburgGate/Calau_Vorplatz_am_Brandenburger_1818.jpeg,https://drive.google.com/drive/folders/1soxSaJeELsJICO0NbHST0OsMrJglj0uE?usp=sharing,
1950s tool,Image,Bureaucracy,,Bureaucracy/1950s_ExtinguishingCradle.png,https://drive.google.com/drive/folders/17_m1PSZ0PBNdHrf2NW6zCUGfYE-7BbGi?usp=sharing,
AverageTemperature,Image,Climate_Information,,Climate_Information/AverageTemperature.png,https://drive.google.com/drive/folders/11ef91rK62H4qZRoX8fR3lrOuSkq8cYCW?usp=sharing,
CummulativeRadiation,Image,Climate_Information,,Climate_Information/CummulativeRadiation.png,https://drive.google.com/drive/folders/11ef91rK62H4qZRoX8fR3lrOuSkq8cYCW?usp=sharing,
DegreeDays,Image,Climate_Information,,Climate_Information/DegreeDays.png,https://drive.google.com/drive/folders/11ef91rK62H4qZRoX8fR3lrOuSkq8cYCW?usp=sharing,
RadiationFacade,Image,Climate_Information,,Climate_Information/RadiationFacade.png,https://drive.google.com/drive/folders/11ef91rK62H4qZRoX8fR3lrOuSkq8cYCW?usp=sharing,
WindPower,Image,Climate_Information,,Climate_Information/WindPower.png,https://drive.google.com/drive/folders/11ef91rK62H4qZRoX8fR3lrOuSkq8cYCW?usp=sharing,
WindRose,Image,Climate_Information,,Climate_Information/WindRose.png,https://drive.google.com/drive/folders/11ef91rK62H4qZRoX8fR3lrOuSkq8cYCW?usp=sharing,
Christo - WrappedReichstag,Image,Contemporary_Art,,Contemporary_Art/Christo_WrappedReichstag_1993.jpg,https://drive.google.com/drive/folders/1B44u_6tBKOZ8jQaA6N2yVTWyAfkWxwjI?usp=sharing,
Corinth - BirchTreesintheTiergarten,Image,Contemporary_Art,,Contemporary_Art/Corinth_BirchTreesintheTiergarten_1920.jpeg,https://drive.google.com/drive/folders/1B44u_6tBKOZ8jQaA6N2yVTWyAfkWxwjI?usp=sharing,
Corinth - Trees with the Sun,Image,Contemporary_Art,,Contemporary_Art/Corinth_TreeswiththeSun_1920.jpeg,https://drive.google.com/drive/folders/1B44u_6tBKOZ8jQaA6N2yVTWyAfkWxwjI?usp=sharing,
Knorr - TiergartenConstant,Image,Contemporary_Art,,Contemporary_Art/DanielKnorrTiergartenConstant_2016.png,https://drive.google.com/drive/folders/1B44u_6tBKOZ8jQaA6N2yVTWyAfkWxwjI?usp=sharing,
Gaines - Numbers And Trees,Image,Contemporary_Art,,Contemporary_Art/Gaines_NumbersAndTreesTiergartenSeriesIITree_2018.png,https://drive.google.com/drive/folders/1B44u_6tBKOZ8jQaA6N2yVTWyAfkWxwjI?usp=sharing,
PeterHerrmann - Frühlingserwachen,Image,Contemporary_Art,,Contemporary_Art/PeterHerrmann_Frühlingserwachen2010.jpg,https://drive.google.com/drive/folders/1B44u_6tBKOZ8jQaA6N2yVTWyAfkWxwjI?usp=sharing,
BotanicalGarden Map,Image,Contemporary_Maps,,Contemporary_Maps/BDGM_BotanicalGardenMap.png,https://drive.google.com/drive/folders/17nruysHUPtSxPj6G4tynG5jAA7Ve88vP?usp=sharing,
Berlin Marathon Route,Image,Contemporary_Maps,,Contemporary_Maps/BerlinMarathonRoute.png,https://drive.google.com/drive/folders/17nruysHUPtSxPj6G4tynG5jAA7Ve88vP?usp=sharing,
Tiergarten Running Map,Image,Contemporary_Maps,,Contemporary_Maps/TiergartenRunningMap.png,https://drive.google.com/drive/folders/17nruysHUPtSxPj6G4tynG5jAA7Ve88vP?usp=sharing,
Botanical Garden Schedule,Image,Current_Schedules,,Current_Schedules/BDGM_BotanicalGardenSchedule_2021.png,https://drive.google.com/drive/folders/1p_aKFKSXZxC-CTL1oUrhroym2eZWGup3?usp=sharing,
Flower Laying  Schedule - Sinti Roma Memorial,Image,Current_Schedules,,Current_Schedules/Routine_Laying_of_Flower_on_Sinti_and_Roma_Memorial_2021.png,https://drive.google.com/drive/folders/1p_aKFKSXZxC-CTL1oUrhroym2eZWGup3?usp=sharing,
Chodowiecki 1780,Image,Drawings_Paintings,,Drawings_Paintings/1024px-Gesellschaft_im_Tiergarten_Daniel_Chodowiecki_1780.jpeg,https://drive.google.com/drive/folders/1K7sDVQzSzzrFtsZCDoupjZrgQfB1Y28u?usp=sharing,
Eislauf 1820,Image,Drawings_Paintings,,Drawings_Paintings/1280px-Eislauf_auf_dem_Porzellangraben_Stich_nach_Calau_um_1820.png,https://drive.google.com/drive/folders/1K7sDVQzSzzrFtsZCDoupjZrgQfB1Y28u?usp=sharing,
Hackert 1761,Image,Drawings_Paintings,,Drawings_Paintings/1920px-Hackert_Parklandschaft_mit_dem_Goldfischteich_im_Berliner_Tiergarten_1761.jpeg,https://drive.google.com/drive/folders/1K7sDVQzSzzrFtsZCDoupjZrgQfB1Y28u?usp=sharing,
Ansicht 1850,Image,Drawings_Paintings,,Drawings_Paintings/Ansicht_des_Neuen_Sees_Zeichnung_1850.jpg,https://drive.google.com/drive/folders/1K7sDVQzSzzrFtsZCDoupjZrgQfB1Y28u?usp=sharing,
Carl,Image,Drawings_Paintings,,Drawings_Paintings/Carl_Blechen_Im_Berliner_Tiergarten.jpeg,https://drive.google.com/drive/folders/1K7sDVQzSzzrFtsZCDoupjZrgQfB1Y28u?usp=sharing,
